HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3.3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM3.0/Output/Earth_correct_params_S3.20c_L3_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	6	0.000240575	2.54093e+11	9.71258e+06	0.00074478	0	-1.42519e-15
	 	 	7	6.47129e-05	2.54109e+11	9.7126e+06	0.000744778	0	-1.58355e-16
	 	 	8	1.51913e-05	2.54113e+11	9.7126e+06	0.000744778	0	1.58355e-16
	 	 	9	3.0589e-06	2.54114e+11	9.7126e+06	0.000744778	0	-4.27558e-15
	 	 	10	5.29368e-07	2.54114e+11	9.7126e+06	0.000744778	0	1.7419e-15
	 	 	11	7.90828e-08	2.54114e+11	9.7126e+06	0.000744778	0	3.16709e-16
	 	 	12	1.02248e-08	2.54114e+11	9.7126e+06	0.000744778	0	1.26684e-15
	 	 	13	1.15065e-09	2.54114e+11	9.7126e+06	0.000744778	0	2.05861e-15
	 7	0.000283739	9.7126e+06	0.431487	0.902119	2.09072	0.000744778	-1.79787e-16	2.05861e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54085e+11	9.71766e+06	0.000747125	0	2.69203e-15
	 	 	2	0.00355487	2.53184e+11	9.72945e+06	0.000743718	0	-1.26684e-15
	 	 	3	0.00297407	2.5394e+11	9.72482e+06	0.000744477	0	4.75064e-16
	 	 	4	0.000782412	2.54139e+11	9.72442e+06	0.000744592	0	3.16709e-16
	 	 	5	0.000226002	2.54196e+11	9.72445e+06	0.000744598	0	2.37532e-15
	 	 	6	6.30264e-05	2.54212e+11	9.72447e+06	0.000744597	0	3.16709e-16
	 	 	7	1.54349e-05	2.54216e+11	9.72447e+06	0.000744596	0	-1.90026e-15
	 	 	8	3.23021e-06	2.54217e+11	9.72447e+06	0.000744596	0	-1.26684e-15
	 	 	9	5.77959e-07	2.54217e+11	9.72447e+06	0.000744596	0	-3.32545e-15
	 	 	10	8.88566e-08	2.54217e+11	9.72447e+06	0.000744596	0	-4.75064e-16
	 	 	11	1.17725e-08	2.54217e+11	9.72447e+06	0.000744596	0	4.75064e-16
	 	 	12	1.34917e-09	2.54217e+11	9.72447e+06	0.000744596	0	-2.05861e-15
	 8	0.000250968	9.72447e+06	0.430976	0.902363	2.09376	0.000744596	0	-2.05861e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54187e+11	9.72647e+06	0.000747169	0	2.05861e-15
	 	 	2	0.0039177	2.53195e+11	9.73541e+06	0.000744918	0	-2.21697e-15
	 	 	3	0.000985463	2.53445e+11	9.73703e+06	0.00074381	0	9.50128e-16
	 	 	4	0.00243856	2.54065e+11	9.73396e+06	0.000744365	0	7.91774e-16
	 	 	5	0.000662463	2.54233e+11	9.73376e+06	0.000744437	0	1.26684e-15
	 	 	6	0.000190621	2.54282e+11	9.7338e+06	0.000744439	0	2.37532e-15
	 	 	7	5.13602e-05	2.54295e+11	9.73381e+06	0.000744437	0	2.37532e-15
	 	 	8	1.20607e-05	2.54298e+11	9.73382e+06	0.000744437	0	2.21697e-15
	 	 	9	2.42604e-06	2.54298e+11	9.73382e+06	0.000744437	0	-2.53368e-15
	 	 	10	4.18743e-07	2.54298e+11	9.73382e+06	0.000744437	0	1.90026e-15
	 	 	11	6.22681e-08	2.54298e+11	9.73382e+06	0.000744437	0	-1.42519e-15
	 	 	12	7.99532e-09	2.54298e+11	9.73382e+06	0.000744437	0	-1.58355e-16
	 9	0.000131507	9.73382e+06	0.430576	0.902554	2.09615	0.000744437	-3.59574e-16	-1.58355e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54277e+11	9.73667e+06	0.000745915	0	-3.16709e-16
	 	 	2	0.00221663	2.53714e+11	9.74403e+06	0.0007438	0	-1.90026e-15
	 	 	3	0.00183719	2.54181e+11	9.74115e+06	0.000744271	0	1.42519e-15
	 	 	4	0.000482664	2.54304e+11	9.7409e+06	0.000744342	0	-3.00874e-15
	 	 	5	0.000139284	2.54339e+11	9.74092e+06	0.000744346	0	-3.32545e-15
	 	 	6	3.88879e-05	2.54349e+11	9.74093e+06	0.000744345	0	-1.26684e-15
	 	 	7	9.53182e-06	2.54352e+11	9.74093e+06	0.000744344	0	1.26684e-15
	 	 	8	1.99474e-06	2.54352e+11	9.74093e+06	0.000744344	0	0
	 	 	9	3.56422e-07	2.54352e+11	9.74093e+06	0.000744344	0	-4.75064e-16
	 	 	10	5.46315e-08	2.54352e+11	9.74093e+06	0.000744344	0	3.16709e-16
	 	 	11	7.20127e-09	2.54352e+11	9.74093e+06	0.000744344	0	6.33419e-16
	 10	0.000140027	9.74093e+06	0.430263	0.902704	2.09803	0.000744344	-1.79787e-16	6.33419e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.5433e+11	9.7422e+06	0.000745919	0	1.26684e-15
	 	 	2	0.00238208	2.53726e+11	9.74997e+06	0.000743681	0	4.75064e-16
	 	 	3	0.00193118	2.54217e+11	9.7469e+06	0.000744182	0	-1.7419e-15
	 	 	4	0.000506993	2.54346e+11	9.74664e+06	0.000744257	0	2.05861e-15
	 	 	5	0.00014669	2.54383e+11	9.74666e+06	0.000744261	0	1.7419e-15
	 	 	6	4.10697e-05	2.54394e+11	9.74667e+06	0.00074426	0	-4.75064e-16
	 	 	7	1.00836e-05	2.54396e+11	9.74667e+06	0.00074426	0	1.10848e-15
	 	 	8	2.11108e-06	2.54397e+11	9.74667e+06	0.00074426	0	1.26684e-15
	 	 	9	3.77149e-07	2.54397e+11	9.74667e+06	0.00074426	0	2.85039e-15
	 	 	10	5.77545e-08	2.54397e+11	9.74667e+06	0.00074426	0	2.69203e-15
	 	 	11	7.59932e-09	2.54397e+11	9.74667e+06	0.00074426	0	1.58355e-16
	 11	0.000104651	9.74667e+06	0.430013	0.902823	2.09953	0.00074426	-5.39361e-16	1.58355e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54379e+11	9.74723e+06	0.000745678	0	-1.90026e-15
	 	 	2	0.00214603	2.53834e+11	9.75418e+06	0.000743678	0	6.33419e-16
	 	 	3	0.00171782	2.54271e+11	9.75143e+06	0.000744126	0	-1.58355e-15
	 	 	4	0.000450765	2.54386e+11	9.75119e+06	0.000744193	0	-3.16709e-16
	 	 	5	0.000130532	2.54419e+11	9.75121e+06	0.000744197	0	-3.80051e-15
	 	 	6	3.65837e-05	2.54428e+11	9.75122e+06	0.000744196	0	1.58355e-16
	 	 	7	8.99057e-06	2.5443e+11	9.75122e+06	0.000744196	0	4.75064e-16
	 	 	8	1.88377e-06	2.54431e+11	9.75122e+06	0.000744196	0	-2.05861e-15
	 	 	9	3.36546e-07	2.54431e+11	9.75122e+06	0.000744196	0	-6.33419e-16
	 	 	10	5.15012e-08	2.54431e+11	9.75122e+06	0.000744196	0	7.91774e-16
	 	 	11	6.76535e-09	2.54431e+11	9.75122e+06	0.000744196	0	-6.33419e-16
	 12	7.57447e-05	9.75122e+06	0.429813	0.902918	2.10073	0.000744196	-5.39361e-16	-6.33419e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54416e+11	9.75477e+06	0.000744158	0	7.91774e-16
	 	 	2	9.81522e-05	2.54441e+11	9.75481e+06	0.000744157	0	-1.58355e-16
	 	 	3	4.02446e-05	2.54451e+11	9.75482e+06	0.000744156	0	3.95887e-15
	 	 	4	1.11648e-05	2.54454e+11	9.75482e+06	0.000744156	0	-4.75064e-16
	 	 	5	2.36936e-06	2.54455e+11	9.75482e+06	0.000744156	0	-2.05861e-15
	 	 	6	4.25414e-07	2.54455e+11	9.75482e+06	0.000744156	0	-7.91774e-16
	 	 	7	6.80793e-08	2.54455e+11	9.75482e+06	0.000744156	0	-4.75064e-16
	 	 	8	9.9734e-09	2.54455e+11	9.75482e+06	0.000744156	0	-7.91774e-16
	 13	9.47503e-05	9.75482e+06	0.429652	0.902995	2.10169	0.000744156	-1.79787e-16	-7.91774e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.5444e+11	9.75315e+06	0.000745857	0	6.33419e-16
	 	 	2	0.00260538	2.53779e+11	9.76138e+06	0.000743487	0	1.90026e-15
	 	 	3	0.00201472	2.54291e+11	9.75809e+06	0.000744019	0	-7.91774e-16
	 	 	4	0.000528586	2.54426e+11	9.75781e+06	0.000744099	0	-2.05861e-15
	 	 	5	0.000153528	2.54465e+11	9.75783e+06	0.000744104	0	1.58355e-15
	 	 	6	4.3187e-05	2.54476e+11	9.75784e+06	0.000744103	0	-1.90026e-15
	 	 	7	1.06418e-05	2.54478e+11	9.75784e+06	0.000744103	0	2.37532e-15
	 	 	8	2.23317e-06	2.54479e+11	9.75784e+06	0.000744103	0	3.16709e-15
	 	 	9	3.99221e-07	2.54479e+11	9.75784e+06	0.000744103	0	-1.26684e-15
	 	 	10	6.10798e-08	2.54479e+11	9.75784e+06	0.000744103	0	4.75064e-16
	 	 	11	8.01487e-09	2.54479e+11	9.75784e+06	0.000744103	0	-4.75064e-16
	 14	2.91383e-05	9.75784e+06	0.429521	0.903057	2.10247	0.000744103	-5.39361e-16	-4.75064e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.5447e+11	9.76009e+06	0.000744087	0	2.37532e-15
	 	 	2	5.61601e-05	2.54484e+11	9.76012e+06	0.000744084	0	1.90026e-15
	 	 	3	2.38405e-05	2.54491e+11	9.76013e+06	0.000744083	0	-1.90026e-15
	 	 	4	6.56591e-06	2.54492e+11	9.76013e+06	0.000744083	0	1.26684e-15
	 	 	5	1.35336e-06	2.54493e+11	9.76013e+06	0.000744083	0	-2.21697e-15
	 	 	6	2.3241e-07	2.54493e+11	9.76013e+06	0.000744083	0	1.58355e-15
	 	 	7	3.52545e-08	2.54493e+11	9.76013e+06	0.000744083	0	-9.50128e-16
	 	 	8	4.90016e-09	2.54493e+11	9.76013e+06	0.000744083	0	1.10848e-15
	 15	5.7083e-05	9.76013e+06	0.429417	0.903106	2.1031	0.000744083	5.39361e-16	1.10848e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54483e+11	9.75822e+06	0.000745505	0	-1.7419e-15
	 	 	2	0.00218032	2.53929e+11	9.76506e+06	0.000743536	0	1.10848e-15
	 	 	3	0.00166692	2.54353e+11	9.76232e+06	0.000743977	0	-3.16709e-16
	 	 	4	0.00043717	2.54464e+11	9.76209e+06	0.000744044	0	3.16709e-16
	 	 	5	0.000127091	2.54497e+11	9.7621e+06	0.000744048	0	-7.91774e-16
	 	 	6	3.57947e-05	2.54506e+11	9.76211e+06	0.000744047	0	3.32545e-15
	 	 	7	8.828e-06	2.54508e+11	9.76212e+06	0.000744047	0	-2.05861e-15
	 	 	8	1.85344e-06	2.54508e+11	9.76212e+06	0.000744047	0	-6.33419e-16
	 	 	9	3.31351e-07	2.54508e+11	9.76212e+06	0.000744047	0	3.16709e-16
	 	 	10	5.0673e-08	2.54509e+11	9.76212e+06	0.000744047	0	3.16709e-16
	 	 	11	6.64243e-09	2.54509e+11	9.76212e+06	0.000744047	0	-1.10848e-15
	 16	9.07616e-06	9.76212e+06	0.429331	0.903147	2.10361	0.000744047	-3.59574e-16	-1.10848e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54503e+11	9.76357e+06	0.00074404	0	0
	 	 	2	3.33563e-05	2.54512e+11	9.7636e+06	0.000744037	0	3.16709e-16
	 	 	3	1.4631e-05	2.54515e+11	9.7636e+06	0.000744037	0	3.16709e-15
	 	 	4	4.00795e-06	2.54516e+11	9.7636e+06	0.000744037	0	9.50128e-16
	 	 	5	8.0566e-07	2.54516e+11	9.7636e+06	0.000744037	0	-1.10848e-15
	 	 	6	1.32761e-07	2.54517e+11	9.7636e+06	0.000744037	0	-7.91774e-16
	 	 	7	1.9071e-08	2.54517e+11	9.7636e+06	0.000744037	0	-1.90026e-15
	 	 	8	2.49814e-09	2.54517e+11	9.7636e+06	0.000744037	0	-7.91774e-16
	 17	3.56874e-05	9.7636e+06	0.429263	0.90318	2.10403	0.000744037	-1.79787e-16	-7.91774e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.5451e+11	9.76488e+06	0.000744021	0	-7.91774e-16
	 	 	2	3.86881e-05	2.5452e+11	9.76488e+06	0.000744021	0	-2.05861e-15
	 	 	3	1.52191e-05	2.54524e+11	9.76489e+06	0.000744021	0	-4.75064e-16
	 	 	4	4.21477e-06	2.54525e+11	9.76489e+06	0.000744021	0	1.58355e-16
	 	 	5	9.07838e-07	2.54525e+11	9.76489e+06	0.000744021	0	1.7419e-15
	 	 	6	1.66662e-07	2.54525e+11	9.76489e+06	0.000744021	0	-2.53368e-15
	 	 	7	2.7293e-08	2.54525e+11	9.76489e+06	0.000744021	0	1.58355e-16
	 	 	8	4.07025e-09	2.54525e+11	9.76489e+06	0.000744021	0	1.42519e-15
	 18	3.48506e-05	9.76489e+06	0.429206	0.903207	2.10437	0.000744021	-1.79787e-16	1.42519e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54519e+11	9.76594e+06	0.000744007	0	1.58355e-15
	 	 	2	3.26558e-05	2.54527e+11	9.76594e+06	0.000744008	0	4.75064e-16
	 	 	3	1.27106e-05	2.54531e+11	9.76594e+06	0.000744007	0	-7.91774e-16
	 	 	4	3.51866e-06	2.54532e+11	9.76595e+06	0.000744007	0	1.7419e-15
	 	 	5	7.61029e-07	2.54532e+11	9.76595e+06	0.000744007	0	-2.69203e-15
	 	 	6	1.40575e-07	2.54532e+11	9.76595e+06	0.000744007	0	3.4838e-15
	 	 	7	2.31718e-08	2.54532e+11	9.76595e+06	0.000744007	0	1.7419e-15
	 	 	8	3.47462e-09	2.54532e+11	9.76595e+06	0.000744007	0	-4.75064e-16
	 19	2.87837e-05	9.76595e+06	0.429159	0.903229	2.10465	0.000744007	-1.79787e-16	-4.75064e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54527e+11	9.76309e+06	0.000745393	0	-1.7419e-15
	 	 	2	0.00213646	2.53984e+11	9.76971e+06	0.000743491	0	6.33419e-16
	 	 	3	0.00159841	2.54391e+11	9.76705e+06	0.000743918	0	-2.69203e-15
	 	 	4	0.000419025	2.54498e+11	9.76682e+06	0.000743983	0	1.7419e-15
	 	 	5	0.000121997	2.54529e+11	9.76684e+06	0.000743987	0	-1.90026e-15
	 	 	6	3.44232e-05	2.54538e+11	9.76685e+06	0.000743986	0	2.21697e-15
	 	 	7	8.50136e-06	2.5454e+11	9.76685e+06	0.000743986	0	3.80051e-15
	 	 	8	1.7855e-06	2.5454e+11	9.76685e+06	0.000743986	0	1.26684e-15
	 	 	9	3.18742e-07	2.5454e+11	9.76685e+06	0.000743986	0	9.50128e-16
	 	 	10	4.8524e-08	2.5454e+11	9.76685e+06	0.000743986	0	1.26684e-15
	 	 	11	6.29823e-09	2.5454e+11	9.76685e+06	0.000743986	0	-1.58355e-16
	 20	1.88688e-05	9.76685e+06	0.429121	0.903247	2.10488	0.000743986	-3.59574e-16	-1.58355e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.54539e+11	9.76744e+06	0.000743991	0	1.58355e-16
	 	 	2	6.66462e-06	2.54541e+11	9.76746e+06	0.000743987	0	-1.26684e-15
	 	 	3	4.15919e-06	2.54542e+11	9.76747e+06	0.000743987	0	2.53368e-15
	 	 	4	1.10325e-06	2.54542e+11	9.76747e+06	0.000743987	0	-1.42519e-15
	 	 	5	1.76399e-07	2.54542e+11	9.76747e+06	0.000743987	0	-3.16709e-16
	 	 	6	1.61341e-08	2.54542e+11	9.76747e+06	0.000743987	0	-3.16709e-15
	 	 	7	2.63581e-10	2.54542e+11	9.76747e+06	0.000743987	0	1.10848e-15
