HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM2.1/Output/Earth_correct_params_S3.20c_L2.1_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	11	7.69257e-09	2.66063e+11	8.92621e+06	0.000745055	0	1.04514e-15
	 6	4.96534e-05	8.92621e+06	0.48723	0.873274	1.79232	0.000745055	0	1.04514e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.65953e+11	8.92509e+06	0.000744963	0	-1.21933e-15
	 	 	2	0.000283009	2.66029e+11	8.92478e+06	0.000745037	0	6.96761e-16
	 	 	3	7.04953e-05	2.66047e+11	8.92472e+06	0.000745057	0	3.4838e-16
	 	 	4	2.88253e-05	2.66055e+11	8.92471e+06	0.000745061	0	-8.70951e-16
	 	 	5	1.1734e-05	2.66058e+11	8.92471e+06	0.000745061	0	1.39352e-15
	 	 	6	3.78032e-06	2.66059e+11	8.92471e+06	0.000745061	0	-3.4838e-16
	 	 	7	9.37898e-07	2.6606e+11	8.92471e+06	0.000745061	0	3.4838e-16
	 	 	8	1.65115e-07	2.6606e+11	8.92471e+06	0.000745061	0	1.7419e-16
	 	 	9	1.05334e-08	2.6606e+11	8.92471e+06	0.000745061	0	-8.70951e-16
	 	 	10	6.22729e-09	2.6606e+11	8.92471e+06	0.000745061	0	-1.56771e-15
	 7	4.81389e-05	8.92471e+06	0.487215	0.873282	1.7924	0.000745061	0	-1.56771e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66014e+11	8.92371e+06	0.000745031	0	1.91609e-15
	 	 	2	9.70293e-05	2.6604e+11	8.92358e+06	0.000745061	0	6.96761e-16
	 	 	3	2.25387e-05	2.66046e+11	8.92355e+06	0.00074507	0	-3.13542e-15
	 	 	4	1.05685e-05	2.66048e+11	8.92355e+06	0.000745072	0	-2.43866e-15
	 	 	5	4.72439e-06	2.6605e+11	8.92355e+06	0.000745072	0	3.4838e-15
	 	 	6	1.58716e-06	2.6605e+11	8.92355e+06	0.000745072	0	3.4838e-16
	 	 	7	4.03598e-07	2.6605e+11	8.92355e+06	0.000745072	0	5.22571e-16
	 	 	8	7.30286e-08	2.6605e+11	8.92355e+06	0.000745072	0	2.43866e-15
	 	 	9	5.31367e-09	2.6605e+11	8.92355e+06	0.000745072	0	-6.96761e-16
	 8	3.87269e-05	8.92355e+06	0.487225	0.873276	1.79235	0.000745072	0	-6.96761e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66031e+11	8.92274e+06	0.000745063	0	-1.7419e-15
	 	 	2	2.78299e-05	2.66038e+11	8.92268e+06	0.000745077	0	1.7419e-16
	 	 	3	5.10604e-06	2.66039e+11	8.92267e+06	0.000745081	0	0
	 	 	4	3.63804e-06	2.6604e+11	8.92266e+06	0.000745081	0	-1.7419e-16
	 	 	5	1.96367e-06	2.66041e+11	8.92266e+06	0.000745082	0	5.22571e-16
	 	 	6	7.0744e-07	2.66041e+11	8.92266e+06	0.000745082	0	0
	 	 	7	1.86926e-07	2.66041e+11	8.92266e+06	0.000745082	0	1.56771e-15
	 	 	8	3.52318e-08	2.66041e+11	8.92266e+06	0.000745082	0	-1.91609e-15
	 	 	9	3.0232e-09	2.66041e+11	8.92266e+06	0.000745082	0	-1.56771e-15
	 9	2.96821e-05	8.92266e+06	0.487244	0.873266	1.79226	0.000745082	0	-1.56771e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66033e+11	8.92203e+06	0.00074508	0	-2.61285e-15
	 	 	2	3.02581e-06	2.66033e+11	8.922e+06	0.000745087	0	-1.91609e-15
	 	 	3	8.27482e-07	2.66033e+11	8.92199e+06	0.000745088	0	0
	 	 	4	1.0463e-06	2.66033e+11	8.92199e+06	0.000745089	0	-1.7419e-15
	 	 	5	8.55404e-07	2.66034e+11	8.92199e+06	0.000745089	0	-6.96761e-16
	 	 	6	3.42445e-07	2.66034e+11	8.92199e+06	0.000745089	0	-6.96761e-16
	 	 	7	9.52678e-08	2.66034e+11	8.92199e+06	0.000745089	0	6.96761e-16
	 	 	8	1.88959e-08	2.66034e+11	8.92199e+06	0.000745089	0	-1.04514e-15
	 	 	9	1.91879e-09	2.66034e+11	8.92199e+06	0.000745089	0	0
	 10	2.23207e-05	8.92199e+06	0.487263	0.873255	1.79216	0.000745089	0	0
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.6603e+11	8.9215e+06	0.000745089	0	-2.26447e-15
	 	 	2	4.96691e-06	2.66029e+11	8.92149e+06	0.000745093	0	-1.04514e-15
	 	 	3	2.49227e-06	2.66028e+11	8.92148e+06	0.000745094	0	-3.4838e-16
	 	 	4	1.16712e-07	2.66028e+11	8.92148e+06	0.000745094	0	-1.56771e-15
	 	 	5	3.98319e-07	2.66028e+11	8.92148e+06	0.000745094	0	1.21933e-15
	 	 	6	1.83167e-07	2.66028e+11	8.92148e+06	0.000745094	0	3.4838e-16
	 	 	7	5.39822e-08	2.66028e+11	8.92148e+06	0.000745094	0	2.96123e-15
	 	 	8	1.12821e-08	2.66028e+11	8.92148e+06	0.000745094	0	-1.91609e-15
	 	 	9	1.32027e-09	2.66028e+11	8.92148e+06	0.000745094	0	-1.7419e-16
	 11	1.66693e-05	8.92148e+06	0.48728	0.873246	1.79208	0.000745094	1.79787e-16	-1.7419e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66026e+11	8.92111e+06	0.000745095	0	2.96123e-15
	 	 	2	6.73711e-06	2.66024e+11	8.9211e+06	0.000745097	0	1.39352e-15
	 	 	3	2.63955e-06	2.66024e+11	8.9211e+06	0.000745098	0	-1.39352e-15
	 	 	4	1.8179e-07	2.66024e+11	8.9211e+06	0.000745098	0	2.26447e-15
	 	 	5	2.0213e-07	2.66024e+11	8.9211e+06	0.000745098	0	-3.4838e-16
	 	 	6	1.08448e-07	2.66024e+11	8.9211e+06	0.000745098	0	6.96761e-16
	 	 	7	3.37119e-08	2.66024e+11	8.9211e+06	0.000745098	0	0
	 	 	8	7.36614e-09	2.66024e+11	8.9211e+06	0.000745098	0	-3.13542e-15
	 12	1.24287e-05	8.9211e+06	0.487295	0.873238	1.79201	0.000745098	1.79787e-16	-3.13542e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66023e+11	8.92081e+06	0.000745098	0	3.4838e-16
	 	 	2	6.34945e-06	2.66021e+11	8.92081e+06	0.0007451	0	1.7419e-16
	 	 	3	2.30709e-06	2.66021e+11	8.92081e+06	0.0007451	0	-1.21933e-15
	 	 	4	2.47031e-07	2.66021e+11	8.92081e+06	0.0007451	0	2.61285e-15
	 	 	5	1.12958e-07	2.66021e+11	8.92081e+06	0.0007451	0	-1.04514e-15
	 	 	6	7.00058e-08	2.66021e+11	8.92081e+06	0.0007451	0	-2.96123e-15
	 	 	7	2.26895e-08	2.66021e+11	8.92081e+06	0.0007451	0	-6.96761e-16
	 	 	8	5.12254e-09	2.66021e+11	8.92081e+06	0.0007451	0	5.22571e-16
	 13	9.27095e-06	8.92081e+06	0.487306	0.873231	1.79196	0.0007451	-3.59574e-16	5.22571e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.6602e+11	8.92059e+06	0.000745101	0	3.4838e-16
	 	 	2	5.34489e-06	2.66019e+11	8.92059e+06	0.000745102	0	1.7419e-15
	 	 	3	1.87549e-06	2.66018e+11	8.92059e+06	0.000745102	0	-1.7419e-16
	 	 	4	2.31843e-07	2.66018e+11	8.92059e+06	0.000745102	0	6.96761e-16
	 	 	5	6.92208e-08	2.66018e+11	8.92059e+06	0.000745102	0	1.21933e-15
	 	 	6	4.81305e-08	2.66018e+11	8.92059e+06	0.000745102	0	-1.39352e-15
	 	 	7	1.60573e-08	2.66018e+11	8.92059e+06	0.000745102	0	-1.7419e-16
	 	 	8	3.70553e-09	2.66018e+11	8.92059e+06	0.000745102	0	0
	 14	6.92368e-06	8.92059e+06	0.487315	0.873226	1.79191	0.000745102	1.79787e-16	0
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66018e+11	8.92042e+06	0.000745102	0	-1.21933e-15
	 	 	2	4.28489e-06	2.66017e+11	8.92042e+06	0.000745103	0	5.22571e-16
